id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
NGA-00791,geografia,toponimo,Arroyo de la Sijuela,"Arroyo de la Sijuela (Curso Fluvial) en Ronda. WGS84: 36.726486, -5.195287.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Ronda,36.726486,-5.195287,2026-08-28
NGA-00792,geografia,toponimo,Arroyo de la Silla,"Arroyo de la Silla (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.776383, -5.949356.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.776383,-5.949356,2026-08-28
NGA-00793,geografia,toponimo,Arroyo de la Suara,"Arroyo de la Suara (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.631149, -5.915479.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.631149,-5.915479,2026-08-28
NGA-00794,geografia,toponimo,Arroyo de la Tablellina,"Arroyo de la Tablellina (Curso Fluvial) en Arcos de la Frontera. WGS84: 36.713861, -5.822899.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Arcos de la Frontera,36.713861,-5.822899,2026-08-28
NGA-00795,geografia,toponimo,Arroyo de la Teja,"Arroyo de la Teja (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.683805, -5.930793.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.683805,-5.930793,2026-08-28
NGA-00796,geografia,toponimo,Arroyo de la Teja,"Arroyo de la Teja (Curso Fluvial) en Prado del Rey. WGS84: 36.760359, -5.562619.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Prado del Rey,36.760359,-5.562619,2026-08-28
NGA-00797,geografia,toponimo,Arroyo de la Tejera,"Arroyo de la Tejera (Curso Fluvial) en Los Barrios. WGS84: 36.175446, -5.556584.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Los Barrios,36.175446,-5.556584,2026-08-28
NGA-00798,geografia,toponimo,Arroyo de la Tenería,"Arroyo de la Tenería (Curso Fluvial) en Villamartín. WGS84: 36.855873, -5.647216.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Villamartín,36.855873,-5.647216,2026-08-28
NGA-00799,geografia,toponimo,Arroyo de la Tiesa,"Arroyo de la Tiesa (Curso Fluvial) en Montellano. WGS84: 37.016068, -5.539256.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Montellano,37.016068,-5.539256,2026-08-28
NGA-00800,geografia,toponimo,Arroyo de la Toma,"Arroyo de la Toma (Curso Fluvial) en Alcalá de los Gazules. WGS84: 36.494374, -5.566727.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Alcalá de los Gazules,36.494374,-5.566727,2026-08-28
NGA-00801,geografia,toponimo,Arroyo de la Toma,"Arroyo de la Toma (Curso Fluvial) en Ronda. WGS84: 36.742071, -5.149626.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Ronda,36.742071,-5.149626,2026-08-28
NGA-00802,geografia,toponimo,Arroyo de la Torre,"Arroyo de la Torre (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.580937, -5.914909.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.580937,-5.914909,2026-08-28
NGA-00804,geografia,toponimo,Arroyo de la Tosca,"Arroyo de la Tosca (Curso Fluvial) en Castellar de la Frontera. WGS84: 36.309426, -5.441308.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Castellar de la Frontera,36.309426,-5.441308,2026-08-28
NGA-00805,geografia,toponimo,Arroyo de la Vaquera,"Arroyo de la Vaquera (Curso Fluvial) en Las Cabezas de San Juan. WGS84: 36.980516, -5.929612.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Las Cabezas de San Juan,36.980516,-5.929612,2026-08-28
NGA-00806,geografia,toponimo,Arroyo de la Vega,"Arroyo de la Vega (Curso Fluvial) en Las Cabezas de San Juan. WGS84: 37.008788, -5.877559.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Las Cabezas de San Juan,37.008788,-5.877559,2026-08-28
NGA-00807,geografia,toponimo,Arroyo de la Vega,"Arroyo de la Vega (Curso Fluvial) en Benadalid. WGS84: 36.602341, -5.294991.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Benadalid,36.602341,-5.294991,2026-08-28
NGA-00808,geografia,toponimo,Arroyo de la Vega Salada,"Arroyo de la Vega Salada (Curso Fluvial) en Medina Sidonia. WGS84: 36.442405, -5.900491.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Medina Sidonia,36.442405,-5.900491,2026-08-28
